Date;ADOBE_INC_USD;AIR_LIQUIDE_SA;ALIBABA_GROUP_HOLDING_LTD_REPR__8SH;ALLIANZ_SE;AMAZON_COM_INC_USD;AMUNDI_IS_GOVT_BOND_LOWEST_RATED;ANHEUSER BUSH_INBEV;ARCELORMITTAL_SA;ATOS_SE;AXA_SA;BERKSHIRE_HATHAWAY_INCB _USD;BLACKROCK_GF_SUSTAINABLE_ENERGY;BROWN_ADVISORY US_SUSTAINABLE_GROWTH_FD;CADEUR_Curncy;CANDRIAM_SRI_BOND_GLOBAL_HIGH_YIELD;CANDRIAM_SRI_EQUITY_EMERGING_MARKETS;CHFEUR_Curncy;COMGEST_GROWTH_EUROPE;DKKEUR_Curncy;ENBW_ENERGIE_BADEN _3_625%_2014 76_02APR;ENEL_S_P_A_;ENGIE_SA;EUR_Curncy;FFG_SICAV_GLOBAL_FLEXIBLE SUSTAINABLE;FLOSSBACH_VS MULTIPLE_OPPORT__II__D_SHS;GAM_MULTIBOND LOCAL_EMERGING_BOND;GBPEUR_Curncy;GLENCORE_FUNDING_LLC_3%_2017 22_27APR;GROUPE_BRUXELLES_LAMBERT_SA;ING_ARIA_CORPORATE_+_R_CAP;ING_ARIA_SUSTAINABLE_BONDS_R;ING_ARIA EURO_SHORT_DUR_RET_BD_R_CAP;INVESCO_FS_ASIAN_EQUITY_FUND;INVESCO_PHYSICAL_GOLD_USD;ISHARES_II__GLOBAL_WATER_UCITS_EUR;ISHARES_PLCCORE_S&P_500_UCITS_ETFUSD;ISHARES_V S&P_500_FINANCIALS_SECTOR;IVO_FUNDS_FIXED_INCOME;JPMORGAN_CHINA_A SHARE_OPPORTUNITIES;JPMORGAN_EMERGING_MARKETS_SUSTAINABLE;JPMORGAN_JAPAN_EQUITY_EUR;JUST_EAT_TAKEAWAY_COM_N_V;KBC_GROUP_SA NV;LVMH_MOET_HENNESSY_LOUIS_VUITTON_SE;LYXOR_IF_EURO_6M;MAINFIRST_SIC_TOP_EUROPEAN_IDEAS;MCDONALD'S_CORP_USD;MEDTRONIC_PLC_USD;MERCK_&_CO_INC_USD;MICHELIN_SA_ORD;MICROSOFT_CORP_USD;MULTI_ULS_LYXOR_EURO_STOXX_BANKS;NOKEUR_Curncy;NORDEA_1_EMERGING_MARKET_BOND;PEPSICO_INC_USD;PICTET_DIGITAL;PIMCO_FGIS_EMERGING_MARKETS_BONDS_ESG;POLAR_CF_PLC_GLOBAL_TECHNOLOGY_FUND;PRINCIPAL_GIF PREFERRED_SECURITIES;QUALCOMM_INC;ROCHE_HOLDING_LTD_CHF;ROYAL_DUTCH_SHELL_PLCA _EUR;ROYAL_PHILIPS_NV;SALESFORCE_COM_INC_USD;SEKEUR_Curncy;SOLVAY_SA;SSGA_SPDR_EUROPE S&P_US_DIVI_ARISTOUSD;THREADNEEDLE_LUXGLOBAL_EQUITY_INCOME;THREADNEEDLE_LUX PAN_EUROPEAN_SMALL;TOTALENERGIES_SE;UBAM_SICAV_POSITIVE_IMPACT_EQUITY;UBS_LUX_EQUITY_ALL_CHINA_USD;UNILEVER_PLC_EUR;USDEUR_Curncy;VEOLIA_ENVIRONNEMENT_SA;VISA_INCA _USD;WELLINGTON_MF GLOBAL_HEALTH_CARE_EQUITY
14/12/2020;486.42;166.1;256.03;235.46;3156.97;264.8013;69.55;17.32;84.7;23.75;222.85;15.23;19.2;0.6452;1134.32;144.43;0.9284;31.84;0.1344;101.007;8.122;12.605;1.2144;120.07;152.26;317.58;1.0971;104.181;99.9;721.21;605.95;101.63;8.66;176.91;54.1825;36.7329;7.76;120.2;37.82;127.99;15.25;104;60.34;616.96;998.0104;106.33;211.92;111.97;76.5872;128.85;214.2;70.65;0.0942;146.3;144.23;514.2;17.94;80.72;12.38;146.29;348.2;18.23;52.55;221.27;0.09799;106.3922;58.9;10.9161;11.4691;43.84;125.41;140.51;57.801;0.8236;23.5643;207.25;47.9113
15/12/2020;482.64;163.36;255.11;233.25;3165.12;265.1037;70.525;18.652;89.5;24.385;224.38;15.25;19.39;0.6479;1134.53;144.2;0.929;31.79;0.1344;101.056;8.045;12.43;1.2151;120.21;151.64;318.26;1.1078;104.21;99.9;720.95;605.81;101.62;8.61;179.06;54.1825;36.4533;7.7364;120.87;38.07;127.78;15.19;104;60.66;616.1;998.0219;107.93;214.86;114.89;76.7398;128.85;214.13;72.2;0.0944;146.43;144.77;512.47;17.96;81.31;12.38;148.36;342.16;18.43;52.88;220.15;0.09817;106.3922;58.5607;10.9756;11.4985;43.87;125.59;140.31;57.76;0.8229;22.6387;208.36;48.349
16/12/2020;489.9;163.36;261.89;242.4;3240.96;264.29;70.15;18.854;89.5;24.49;221.91;15.4;19.51;0.6434;1135.17;145.9;0.9261;32.05;0.1344;100.995;8.162;12.59;1.22;120.78;152.19;319.35;1.1073;104.156;99.9;719.98;604.47;101.62;8.66;179.66;54.1825;36.4533;7.7364;120.97;38.41;129.34;15.15;104;59;619.81;998.0155;108.93;213.8;114.97;76.12;128.85;219.28;71.35;0.0945;146.76;144.89;519.2;17.99;81.83;12.38;149.74;350;18.675;53.474;223.62;0.09818;106.3922;58.5607;10.988;11.5896;43.9;125.73;141.36;58.411;0.8197;22.6387;208.27;48.3418
17/12/2020;495.36;164.65;264.43;248;3236.08;264.43;71.675;19.254;89.5;24.49;224.68;15.56;19.79;0.6407;1135.72;145.68;0.9216;32.2;0.1344;100.868;8.173;12.67;1.2268;121.48;152.87;322.45;1.1074;104.123;99.9;720.28;604.54;101.62;8.67;182.965;54.1825;36.4533;7.83;121;38.79;130.92;15.5;104;59.44;616.36;998.0709;109.93;214.25;115.34;76.1104;132.3;219.42;71.44;0.0952;147.14;145.71;525.05;18.03;82.44;12.4;149.53;345;18.865;53.85;225.92;0.09851;106.3922;59.6;11.0024;11.7321;43.04;126.87;143.44;58.141;0.8151;22.6387;211.18;48.8852
18/12/2020;502.95;164.65;260;243.25;3201.65;264.07;70.6;18.784;89.5;24.21;223.43;15.54;19.9;0.638;1136.26;145.41;0.9235;32.21;0.1344;101.069;8.16;12.625;1.2257;121.04;153.26;322.08;1.1011;104.107;99.9;720.44;604.44;101.63;8.64;182.42;54.1825;36.9;7.7636;121.16;38.46;130.13;15.4;107;58.58;607.96;998.0392;110.25;215.08;116.71;75.8339;131.1;218.59;70.29;0.0951;147.25;146.93;524.1;18.05;82.66;12.39;147.42;348.3;18.625;55.16;227.43;0.09882;106.3922;58.9005;10.9561;11.7404;42.59;127.45;142.51;58.701;0.8158;22.6387;211.31;48.9964
19/12/2020;502.95;164.65;260;243.25;3201.65;264.07;70.6;18.784;89.5;24.21;223.43;15.54;19.9;0.638;1136.26;145.41;0.9235;32.21;0.1344;101.069;8.16;12.625;1.2257;121.04;153.26;322.08;1.1011;104.107;99.9;720.44;604.44;101.63;8.64;182.42;54.1825;36.9;7.7636;121.16;38.46;130.13;15.4;107;58.58;607.96;998.0392;110.25;215.08;116.71;75.8339;131.1;218.59;70.29;0.0951;147.25;146.93;524.1;18.05;82.66;12.39;147.42;348.3;18.625;55.16;227.43;0.09882;106.3922;58.9005;10.9561;11.7404;42.59;127.45;142.51;58.701;0.8158;22.6387;211.31;48.9964
20/12/2020;502.95;164.65;260;243.25;3201.65;264.07;70.6;18.784;89.5;24.21;223.43;15.54;19.9;0.638;1136.26;145.41;0.9235;32.21;0.1344;101.069;8.16;12.625;1.2257;121.04;153.26;322.08;1.1011;104.107;99.9;720.44;604.44;101.63;8.64;182.42;54.1825;36.9;7.7636;121.16;38.46;130.13;15.4;107;58.58;607.96;998.0392;110.25;215.08;116.71;75.8339;131.1;218.59;70.29;0.0951;147.25;146.93;524.1;18.05;82.66;12.39;147.42;348.3;18.625;55.16;227.43;0.09882;106.3922;58.9005;10.9561;11.7404;42.59;127.45;142.51;58.701;0.8158;22.6387;211.31;48.9964
21/12/2020;498.39;162.45;260.43;237.45;3206.18;264.07;68.45;18.618;89.5;23.5;223.49;15.37;19.8;0.6352;1133.59;146.37;0.9219;31.61;0.1344;101.003;7.856;12.155;1.2244;120.04;153.21;319.02;1.0996;104.121;98.95;720.06;604.42;101.61;8.58;182.035;54.1825;36.4467;7.7914;121.1;38.98;128.16;15.37;109.05;56.1;608.51;997.9979;107.73;211.67;114.45;75.6051;131.1;222.59;67.56;0.0944;147;145.4;520.13;18.02;82.65;12.39;146.8;344.25;17.65;53.05;226.47;0.09905;106.3922;57.6789;10.8242;11.5762;40.99;126.75;142.7;57.141;0.8167;22.6387;209.01;48.8324
22/12/2020;504.17;162.45;255.83;240.5;3206.52;264.2963;69.31;18.98;89.5;23.39;221.88;15.57;19.9;0.6369;1134.49;144.65;0.9243;32.01;0.1344;100.875;8.071;12.325;1.2163;119.67;152.15;318.5;1.0986;103.94;99.25;720.4;604.78;101.61;8.48;180.91;54.1825;36.4467;7.78;121.16;38.49;128.01;15.12;110;57.08;598.2;997.9599;109.2;211.92;114.63;75.729;131.1;223.94;68.715;0.094;146.94;144.02;521.18;18.04;83.2;12.38;146.34;343.64;17.545;53.385;231.17;0.09859;106.3922;57.8089;10.8311;11.7284;43.15;128.8;142.66;57.141;0.8221;22.8991;205.84;48.9763
23/12/2020;496.91;164.65;256.18;244.075;3185.27;263.3973;70.26;19.134;89.5;23.9;224.24;15.84;19.73;0.6387;1139.69;146.33;0.924;32.09;0.1344;100.981;8.271;12.69;1.2187;119.9;152.52;318.42;1.1072;103.94;99.25;719.32;603.42;101.59;8.58;181.395;54.1825;36.4467;7.891;121.14;38.97;128.93;15.38;110;58.28;603.19;997.9019;110.93;212.02;113.94;76.0532;131.1;221.02;70.64;0.0949;147.04;144.41;519.52;18.04;82.95;12.38;146.96;338;17.93;53.85;227.43;0.09896;106.3922;57.8089;10.8958;11.8256;44.29;129.12;142.92;58.879;0.8206;22.8991;205.3;49.1041
